replica,n_stimuli,n_obstacles,use_fuzzy,convergence_time,physical_convergence_time,cohesion_mean,cohesion_final,fragmentation_mean,fragmentation_final,distribution_entropy,dwell_count,stimulus_occupancy,first_arrival,physical_convergence_time_per_stimulus,mean_robots_at_stimulus,transit_fraction,obstacle_interaction_rate
0,3,0,0,10,42,2.3835156833186777,2.0391153968750486,0.43928070175438594,0.3631578947368421,0.46438561897747244,"[3992, 3803, 4070]","[0.5933333333333334, 0.5488888888888889, 0.59]","[12, 36, 40]","[458, 176, 697]","[2.2177777777777776, 2.1127777777777776, 2.261111111111111]",0.6704166666666667,
1,3,0,0,15,23,2.4165830755142723,1.6221266748360403,0.4334590643274854,0.2578947368421053,0.7461970152347834,"[3656, 3772, 4027]","[0.5644444444444444, 0.5538888888888889, 0.5844444444444444]","[14, 36, 12]","[400, 365, 145]","[2.031111111111111, 2.0955555555555554, 2.237222222222222]",0.6818055555555556,
2,3,0,0,15,24,2.486995343884911,2.0528218336498614,0.451640350877193,0.4263157894736842,0.21609640474436814,"[4078, 4205, 3863]","[0.5872222222222222, 0.605, 0.535]","[15, 32, 14]","[192, 569, 716]","[2.2655555555555558, 2.3361111111111112, 2.1461111111111113]",0.6626111111111112,
3,3,0,0,8,25,2.434590508363297,3.315033804881778,0.4592953216374269,0.5473684210526316,0.9931568569324173,"[3911, 4196, 4041]","[0.5855555555555556, 0.5972222222222222, 0.5816666666666667]","[13, 41, 17]","[464, 82, 136]","[2.1727777777777777, 2.331111111111111, 2.245]",0.6625555555555556,
4,3,0,0,14,29,2.449093826029143,3.258463997678761,0.4478391812865497,0.5736842105263158,0.5301006104904153,"[3866, 4286, 4052]","[0.57, 0.61, 0.5772222222222222]","[13, 28, 22]","[142, 481, 206]","[2.147777777777778, 2.381111111111111, 2.2511111111111113]",0.661,
