replica,n_stimuli,n_obstacles,use_fuzzy,convergence_time,physical_convergence_time,cohesion_mean,cohesion_final,fragmentation_mean,fragmentation_final,distribution_entropy,dwell_count,stimulus_occupancy,first_arrival,physical_convergence_time_per_stimulus,mean_robots_at_stimulus,transit_fraction,obstacle_interaction_rate
0,3,0,1,10,25,3.007730624476723,4.4101516358089246,0.5901842105263158,0.7263157894736842,1.147730922119161,"[5486, 6544, 5219]","[0.8372222222222222, 0.8966666666666666, 0.8605555555555555]","[11, 39, 9]","[1800, 86, 197]","[3.0477777777777777, 3.6355555555555554, 2.8994444444444443]",0.5208611111111111,
1,3,0,1,12,26,3.032413822180282,3.1459066493167986,0.6007163742690058,0.5368421052631579,0.7344977967946407,"[5813, 6317, 4876]","[0.8772222222222222, 0.9033333333333333, 0.7822222222222223]","[9, 30, 10]","[1441, 444, 1549]","[3.2294444444444443, 3.5094444444444446, 2.7088888888888887]",0.5276111111111111,
2,3,0,1,22,36,3.0605255679878103,3.4408658742840728,0.5972573099415205,0.6578947368421053,0.8321928094887363,"[4678, 5613, 5906]","[0.8138888888888889, 0.87, 0.865]","[15, 50, 10]","[1048, 1800, 38]","[2.598888888888889, 3.118333333333333, 3.281111111111111]",0.5500833333333334,
3,3,0,1,8,22,3.035475340607835,3.2784172627050574,0.5916900584795322,0.6105263157894737,1.2672866934846452,"[5361, 6067, 5276]","[0.8255555555555556, 0.8711111111111111, 0.8455555555555555]","[11, 46, 11]","[185, 790, 571]","[2.9783333333333335, 3.3705555555555557, 2.931111111111111]",0.536,
4,3,0,1,11,34,3.041042328777133,3.2381232609991337,0.5971345029239766,0.5368421052631579,0.9944862294678878,"[5345, 6370, 5139]","[0.88, 0.9016666666666666, 0.8494444444444444]","[10, 52, 13]","[1800, 693, 1800]","[2.9694444444444446, 3.5388888888888888, 2.855]",0.5318333333333334,
